src_ip,dst_ip,protocol,login_attempts,packet_size,connections_per_min,hour,label
192.168.1.37,10.0.0.46,UDP,0,1333,46,10,1
192.168.1.253,10.0.0.122,UDP,13,354,163,8,1
192.168.1.168,10.0.0.161,UDP,3,1075,185,20,0
192.168.1.188,10.0.0.42,UDP,2,734,20,9,0
192.168.1.68,10.0.0.27,UDP,12,1577,144,23,1
192.168.1.98,10.0.0.30,UDP,19,1274,126,11,1
192.168.1.139,10.0.0.15,UDP,6,420,52,17,0
192.168.1.83,10.0.0.9,TCP,5,1163,30,4,0
192.168.1.117,10.0.0.246,TCP,19,1147,178,10,1
192.168.1.214,10.0.0.114,TCP,11,1500,165,8,1
192.168.1.242,10.0.0.53,TCP,5,207,117,20,0
192.168.1.10,10.0.0.26,ICMP,12,1325,51,12,1
192.168.1.28,10.0.0.29,UDP,11,904,119,19,1
192.168.1.223,10.0.0.21,TCP,11,1381,190,22,1
192.168.1.9,10.0.0.145,ICMP,8,672,180,6,0
192.168.1.1,10.0.0.155,UDP,12,293,164,21,1
192.168.1.26,10.0.0.28,ICMP,5,1244,199,22,0
192.168.1.134,10.0.0.158,ICMP,11,388,9,10,1
192.168.1.156,10.0.0.240,TCP,5,909,178,9,0
192.168.1.254,10.0.0.245,UDP,19,397,118,5,1
192.168.1.153,10.0.0.13,TCP,12,744,122,23,1
192.168.1.79,10.0.0.103,TCP,9,944,87,13,0
192.168.1.253,10.0.0.182,ICMP,11,461,9,11,1
192.168.1.157,10.0.0.46,UDP,0,648,180,23,0
192.168.1.1,10.0.0.252,ICMP,3,1298,108,15,1
192.168.1.167,10.0.0.251,ICMP,1,820,53,23,0
192.168.1.168,10.0.0.252,ICMP,9,408,83,18,0
192.168.1.226,10.0.0.16,TCP,0,980,94,18,0
192.168.1.220,10.0.0.74,ICMP,6,587,173,6,0
192.168.1.229,10.0.0.189,UDP,7,542,164,5,0
192.168.1.107,10.0.0.247,UDP,9,165,185,4,1
